"Gene symbol","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8_Tcell"
"GMDS",33.717811636955,77.8631065084158,63.0098731437451,64.4848567028074,47.690037101632,397.669470784973,46.2136937447443,167.713382326554,40.5241915662207
"ITGB2.AS1",45.5712803713941,138.140496132984,54.4937549628663,58.7767017732586,31.5752444930024,115.139257209028,59.2260308833141,298.543014130812,831.245030315508
"PPM1F",120.576253660323,195.022801590782,240.602529550886,130.732316194241,183.31162889216,159.832612736746,39.7593702204195,231.438007863538,96.2411849233338
"CD46",92.4879174332089,118.91937699182,649.25391583108,664.838675557605,257.370965609368,88.1183758988322,823.730729710456,112.148926449214,956.46442543146
"CD99L2",51.8842947763792,80.3800461163501,165.439050437825,166.240489823376,108.903612422066,49.309680504277,35.8478328609585,53.594498133742,36.4196966339623
"CSNK1E",122.636872451213,80.0571582012968,52.3828990319738,30.5584507823625,83.6489484986066,47.7429894774089,232.032245458462,60.7929869692685,119.278772021758
"MIDN",8.35028246235827,10.3747955407696,10.1901684834822,10.2691331554593,17.6145901256152,11.4070908266406,123.71477513148,11.6403376351731,81.9145598253151
"SLC8A1",12.6423784268252,9.2121985130198,12.8958592690896,122.712720715721,12.7439225584325,10.2380496302907,7.79755595301211,8.90315701959615,7.26240053667322
"CCDC47",324.356378587807,310.499470936832,916.75346271691,703.996282300595,1453.42861494491,502.501119435114,1186.01332213381,126.022628878109,293.312043566505
"ATF5",23.7986527621286,34.8791021995847,93.7611916125888,176.425648158836,203.496899023031,32.3156700408907,304.074283893419,32.0190145152895,137.858269449265
"ADARB1",198.643806193781,127.953295947861,70.41197966156,49.6424873918259,114.839886534175,237.215751489273,59.8511059112532,353.198400655764,217.136432443272
"PATZ1",31.2504053927453,28.4371307081294,34.4495683239537,33.6329052305842,19.3791582186809,30.6673797175638,93.9590681361701,31.5575653204988,116.190233800512
"TMCC1",60.968493792758,56.2066723786901,114.027342656624,137.72278977756,71.7863927894692,118.570885792221,173.008007157331,124.112361176092,85.3917033840043
"TFRC",2422.90143332849,1282.08082505802,12226.1368476513,13196.4522006054,17075.2786325673,2813.99685335782,3045.49073474738,1346.86543187296,1177.44013914845
"TMEM59",11.0196538386293,27.3071907846375,11.5568955224237,9.86169408250486,10.2580634858575,11.7383522350556,7.92587931507627,63.4781421710202,30.254566328595
"DHFR",150.87761859143,493.820699149925,134.600690429936,71.1819968573713,139.169282126793,1178.40194387536,34.1362221673145,272.793791445634,105.439344774025
"STRN",63.6966679405327,159.51380764203,40.9519998203382,22.9566066581602,34.4343609998059,26.5380047282262,12.9633258849118,220.311195537187,79.73938094867
"RNF19B",41.4024718975418,248.854730265621,509.524249792965,489.857561555375,554.5969991716,23.7325464215881,706.571623332374,30.5009442227074,425.651380719266
"UACA",15.6529644071455,15.1681160266731,110.719997094271,71.4801868255981,35.5320248447467,24.4859115515905,21.6129859961895,19.3405913281592,12.1313357036591
"APC",24.3805370395672,61.3340792146504,96.9498660545127,49.7561516303535,73.4077511158794,12.65717030336,21.0873295197872,25.5552712600887,45.5163510706739
"EEF1G",12807.2934107352,8597.2229228143,10615.7376349666,4661.85849967257,8198.7883337725,8286.24636767727,10184.5562377081,16495.3412071863,10973.2860644407
"PDS5B",39.2673681183446,53.605718268392,29.8026765817912,23.0098392561815,14.6966455682809,30.4464264219179,10.5248772328549,180.920741032836,27.9364732742903
"VTI1A",50.4014033916093,21.7059250094681,23.1456151324659,42.2296826376684,17.9016293758336,22.4585674295652,18.5597323449838,171.193842310993,48.2679617127437
"PRPF40A",199.194499560467,134.397034978774,148.37600587131,65.1936705778443,86.4796032981015,105.408982335386,34.732310950048,345.506489939681,72.1992777509142
"MMP24OS",59.5285149921008,161.846179519147,175.632131916465,156.760525053882,157.263766223593,108.260789204262,241.635815839104,133.695676355707,378.842794970138
"CD82",80.2165492156069,56.2259801246755,128.39809610311,256.098323782868,555.448175060139,159.143122406085,1044.46541034738,89.5400984882595,55.547246758587
"PCGF3",67.1028901435063,240.222837259894,193.324008004504,101.286915152106,232.070446320711,159.508998069787,91.3396274343614,235.211371501328,436.426682973846
"NT5DC1",6.79091982656612,10.1929482658214,7.49602102757369,6.83327174057856,7.75769200880205,9.02281746632811,11.459847971141,21.1120095022028,45.0288116788181
"WDR27",38.6899510931366,31.0552332817929,29.9561434859796,33.1663650514338,27.8179943186614,38.7430062879101,20.8407385593429,85.4833179058242,35.3940267440099
"UBE2W",33.8563607524427,150.990869352542,89.0437224299764,122.542850034159,244.760509972386,56.2802955639806,108.419917197812,130.520173492059,88.2754888366466
"SNRPB",1672.33481470725,1964.761526169,2121.47652592338,1450.33252827428,1173.13229419192,2975.96325936612,596.364057640049,1285.91182046212,203.095997798654
"STYXL1",86.326285048038,180.369175801744,334.56344214226,430.10258739677,423.343080991428,237.927628648758,75.0326704357475,167.078698475761,72.46535419613
"ZDHHC18",18.329721998501,17.5821732358588,21.253330040881,24.0317116092068,24.8894164397245,19.8405071733015,241.996940869393,21.7689663358543,273.174593058067
"ANKRD24",23.7275132102089,21.2144077814836,34.9391837678827,39.2713829882408,35.2739931877865,34.8140801446398,70.0935845631076,37.5453412665334,57.3547672120047
"UBE2D1",319.571955986921,337.822240323795,310.011516414158,828.715732148738,753.451062518984,223.607845932331,247.322382793551,143.639427720175,96.8957511389666
"EMC3",141.31335444792,193.175590798412,264.029258316587,189.083412894734,732.053612999474,110.693599874194,220.44378603678,99.4422476323087,152.534259390174
"SLC39A14",36.9928615997112,27.3449117311274,29.0816253997781,41.46206310553,34.5590463007556,35.8006034388555,185.827408936338,24.9530800747268,24.3321770190415
"FNBP1",100.349178776588,39.9604936391903,29.2641404670741,33.9015539789625,29.5121270528112,24.2654716996839,223.976723565899,55.8749604499939,509.475337362163
"ASF1A",251.810913382061,168.889578766538,155.369121855021,166.047247750385,247.355899788257,395.001411936077,2345.65886734508,190.995389133292,633.662574898529
"TKTL1",27.1001512803195,166.357084953868,24.987107499371,26.4296332409868,35.0002179309529,32.3314207375487,58.8390480305676,35.6945522522716,29.8006522017063
"HIF3A",15.93404887336,13.9169050118288,17.5116485421855,17.9670232507472,14.2187328995461,18.6009706242773,30.9244600406325,19.6092166674996,22.3981318184793
"CAB39L",28.4999602108183,70.2895103617646,91.4354684426405,244.400851274093,238.631965619636,45.8497511980955,27.8781515126855,37.8921474903814,40.5639151482749
"VCX2",38.6780189988816,37.6670462425774,58.3837915492133,74.6039700281706,42.2115236483437,68.6756616603833,117.239710461598,68.544974930113,125.890097929718
"ZNF644",65.2156360385342,59.8088055285925,64.05383302982,52.8656787398892,38.0469789860688,21.2951206713073,430.217380605427,29.975626466319,330.817788053683
"AJUBA",16.3515444079848,10.4441704298516,7.90337027281766,8.50088769019356,9.51622247366599,23.9755831376847,12.8880447196842,12.9477992736852,7.19773506316911
"DENR",913.495619205115,788.42488360188,584.503559395254,427.700030538553,681.189317294045,1208.53119704438,430.850037732073,1382.15241460012,221.355974079356
"FBXO7",666.688485475852,1273.93901468701,1081.47080199623,1376.42949770879,1403.33137113918,596.122079743104,626.320808181989,641.86496228574,1215.99408861441
"SLC33A1",49.8472496431761,135.013513163378,431.372979189496,204.697617424232,369.871543737129,174.48086292752,43.9945832357147,341.4290492908,233.382811316658
"CYP2C9",90.3091336060628,28.3465155504401,23.4151439134458,33.9668964427795,18.9229092008245,31.0326931405201,15.4953506772959,30.9715783220949,12.5249418476472
